file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00543_0255_1705025_to_1707713,སྨན་གི་ནུས་པ་ལ་བརྟེན་ནས། དེ་ནས་ཡང་དེ་འདྲའི་འདུག་ག་ད་ཅིག།  ,sman gi nus pa la brten nas/_de nas yang de 'dra'i 'dug ga da cig/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00543_0255_1705025_to_1707713.wav,STT_TT,3,58,2.688,wav16k/STT_TT00543_0255_1705025_to_1707713.wav,སྨན་གི་ནུས་པ་ལ་བརྟེན་ནས། དེ་ནས་ཡང་དེ་འདྲའི་འདུག་ག ད་ཅིག
STT_TT00548_0161_1077719_to_1080823,གང་ཞིག་བཅོ་ལྔ་ཡིས་ནི་ས། དེ་ནི་ཡེ་ཤེས་ས་ཞེས་བྱ། བཅོ་ལྔ་པ་ཡེ་ཤེས་ཀྱི་ས།  ,gang zhig bco lnga yis ni sa/_de ni ye shes sa zhes bya/_bco lnga pa ye shes kyi sa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00548_0161_1077719_to_1080823.wav,STT_TT,3,71,3.104,wav16k/STT_TT00548_0161_1077719_to_1080823.wav,གང་ཞིག་བཅོ་ལྔ་ཡིན་ནི་ས། དེ་ནི་ཡེ་ཤེས་ས་ཞེས་བྱ། བཅོ་ལྔ་པ་ཡེ་ཤེས་ཀྱི་ས།
STT_TT00511_0229_1371962_to_1375354,དབང་པོ་རྟུལ་པོའི་བསམ་པའི་ཟེ། དབང་པོ་རྟུལ་པོའི་སེམས་ཅན་གྱི་བསམ་པའི་དབང་གིས་ ,dbang po rtul po'i bsam pa'i ze/_dbang po rtul po'i sems can gyi bsam pa'i dbang gis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00511_0229_1371962_to_1375354.wav,STT_TT,3,75,3.392,wav16k/STT_TT00511_0229_1371962_to_1375354.wav,དབང་པོ་རྟུལ་པོའི་བསམ་པས་ཟེ། དབང་པོ་རྟུལ་པོས་སེམས་ཅན་གྱི་བསམ་པའི་དབང་གིས།
STT_TT00595_0038_242534_to_247312,ཡང་ཅིག་ཐིག་ལེ་འདྲ་བོ་ཅིག་དེ་འདྲའི་ལ་ཡ་སེམས་རྩེ་གཅིག་ཏུ་ཕ་གིར་དམིགས་པ་གཏད་ནས་བྱས་ན།  ,yang cig thig le 'dra bo cig de 'dra'i la ya sems rtse gcig tu pha gir dmigs pa gtad nas byas na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00595_0038_242534_to_247312.wav,STT_TT,3,84,4.778,wav16k/STT_TT00595_0038_242534_to_247312.wav,ཡང་ཅིག་ཐིག་ལེ་འདྲ་བོ་ཅིག དེ་འདྲའི་ལ་ཡ། སེམས་རྩེ་གཅིག་ཏུ་ཕ་གི་དམིགས་པ་གཏད་ནས་བྱས་ན།
STT_NS_M0265_0271_1786750_to_1792268,ཨེ་ནས་ཨེ་འདྲའི་ཇ་པན་ལ་ཅ་ལག་སྙིང་རྗེ་མོ་མང་པོ་འདུག་ག ཨེ་འདྲའི་འདྲ་བོ་ཡོད་བ། ཨེ་འདྲའི་འདྲ་བོ་ང་ཏོག་ཙི་དགའ་བོ་ཡོད་མི་འདུག་གེ ཨོ་དེའི་ད་ཨེ་འདྲའི།  ,e nas e 'dra'i ja pan la ca lag snying rje mo mang po 'dug ga_e 'dra'i 'dra bo yod ba/_e 'dra'i 'dra bo nga tog tsi dga' bo yod mi 'dug ge_o de'i da e 'dra'i/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0265_0271_1786750_to_1792268.wav,STT_NS,3,143,5.518,wav16k/STT_NS_M0265_0271_1786750_to_1792268.wav,ཨེ་ནས་ཨེ་འདྲའི་འཇའ་པན་ལ་ཅ་ལག་སྙིང་རྗེ་མོ་ཨེ་འདྲའི་མང་པོ་འདུག་བ། ཨེ་འདྲའི་འདྲ་བོ་ཡོད་བ། ཨེ་འདྲའི་འདྲ་བོ་ང་ཏོག་ཙི་དགའ་བོ་ཡོད་མི་འདུག་བེ། ཨོ་དེ་ད་ཨེ་འདྲའི།
STT_TT00568_0019_113029_to_116407,འདུག་གནས་སུ་ཟ་བའི་ལྟུང་བྱེད་ནི། དགེ་སློང་གི་མུ་སྟེགས་ཅན་གྱི་འདུག་གནས།  ,'dug gnas su za ba'i ltung byed ni/_dge slong gi mu stegs can gyi 'dug gnas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00568_0019_113029_to_116407.wav,STT_TT,3,71,3.378,wav16k/STT_TT00568_0019_113029_to_116407.wav,འདུག་གནས་སུ་ཟ་བའི་ལྟུང་བྱེད་ནི། དགེ་སློང་གི་མུ་སྟེགས་ཅན་གྱི་འདུག་ནས།
STT_TT00536_0143_961953_to_964513,རྡོ་རྗེ་སློབ་དཔོན་གི་དབང་མེད་ཡིན་ཙ་ནས། ཨེ་ནས་ག་རེ་ཟེར་ན།  ,rdo rje slob dpon gi dbang med yin tsa nas/_e nas ga re zer na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00536_0143_961953_to_964513.wav,STT_TT,3,58,2.56,wav16k/STT_TT00536_0143_961953_to_964513.wav,ཨ། རྡོ་རྗེ་སློབ་དཔོན་གི་དབང་མེད་ཡིན་ཙ་ནས། ཨེ་ནས་ག་རེ་ཟེར་ན།
STT_TT00566_0030_188984_to_194769,དགེ་སློང་གིས་དགེ་འདུན་དབང་བའི་གནས་སུ་སྔར་བཞུགས་པའི་དགེ་སློང་ལ་མཐོ་འཚམས་པའི་བསམ་པས་ཕྱིས་གནོན་བྱེད་པ་ཟེ།  ,dge slong gis dge 'dun dbang ba'i gnas su sngar bzhugs pa'i dge slong la mtho 'tshams pa'i bsam pas phyis gnon byed pa ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00566_0030_188984_to_194769.wav,STT_TT,3,104,5.785,wav16k/STT_TT00566_0030_188984_to_194769.wav,དགེ་སློང་གིས་དགེ་འདུན་བང་བའི་གནས་སུ་སྔར་བཞུགས་པའི་དགེ་སློང་ལ། མཐོ་འཚམ་པའི་བསམ་པས་ཕྱིར་གནོན་བྱེད་པ་ཟེ།
STT_TT00593_0119_874274_to_882977,ཨང་། དང་པོ་ལ་གསུམ། ལུས་དབེན་སྐུ་རྡོ་རྗེའི་ཏིང་ངེ་འཛིན་ལ་བསླབ་ཚུལ་དང་། ངག་དབེན་གསུང་རྡོ་རྗེའི་ཏིང་ངེ་འཛིན་ལ་བསླབ་ཚུལ་དང་། སེམས་དབེན་ཐུགས་རྡོ་རྗེའི་ཏིང་ངེ་འཛིན་ལ་བསླབ་ཚུལ་ལ་བསླབ་ཚུལ་ལོ།  ,ang /_dang po la gsum/_lus dben sku rdo rje'i ting nge 'dzin la bslab tshul dang /_ngag dben gsung rdo rje'i ting nge 'dzin la bslab tshul dang /_sems dben thugs rdo rje'i ting nge 'dzin la bslab tshul la bslab tshul lo/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00593_0119_874274_to_882977.wav,STT_TT,3,185,8.703,wav16k/STT_TT00593_0119_874274_to_882977.wav,ཨ། དང་པོ་ལ་གསུམ། ལུས་དབེན་སྐུ་རྡོ་རྗེ་ཏིང་ངེ་འཛིན་ལ་བསླབ་ཚུལ་དང། སང་མེ་གསུང་རྡོ་རྗེ་ིང་ུལ་ུ་ུ། སེམས་དབེན་ཐུགས་རེ་ཏིང་ངེ་འཛིན་བསླབ་ཚུལ་ལ། བསླབ་ཚུལ། སུལོ།
STT_TT00448_874.900-878.900,ད་ང་ཚོ། དེ་གས་གི་དཀྱལ་ནས་བསྡུར་ཡོང་དུས། མི་དེ་སྡུག་བསྔལ་ཆུང་ཤོས་འདྲ་ཅིག་ཆགས་པ་རེད་དེ། མི་ལ་སྐྱེ་རྒ་ན་འཆིའི།  ,da nga tsho/_de gas gi dkyal nas bsdur yong dus/_mi de sdug bsngal chung shos 'dra cig chags pa red de/_mi la skye rga na 'chi'i/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00448_874.900-878.900.wav,STT_TT,3,109,4.0,wav16k/STT_TT00448_874.900-878.900.wav,ད་ང་ཚོ་འདི་གས་ཀི་དཀྱིལ་ནས་བསྡུར་ཡོང་དུས། མི་དེ་སྡུག་བསྔལ་ཆུང་ཤོས་འདྲ་ཅིག་ཆགས་པ་རེད་དེ། མི་ལ་སྐྱེ་རྒ་ན་ཅིན་
